,latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
58,-3.944049,-38.718803,Parado,12.53605,69,0,2.84142,24,2021-08-18 06:10:23
59,-3.944051,-38.718803,Parado,12.502204,69,0,0.18531,24,2021-08-18 06:10:28
60,-3.944095,-38.718803,Parado,12.584122,69,0,1.828392,24,2021-08-18 06:10:53
61,-3.944048,-38.718815,Parado,12.691963,68,0,0.253257,24,2021-08-18 06:11:19
62,-3.944055,-38.718807,Parado,10.790939,68,0,0.722709,24,2021-08-18 06:12:28
63,-3.944021,-38.718769,Parado,10.779538,69,0,0.448862,24,2021-08-18 06:13:22
64,-3.944056,-38.718872,Parado,10.953583,69,0,0.140012,24,2021-08-18 06:14:58
65,-3.944086,-38.718838,Parado,-57.087883,68,0,0.459157,24,2021-08-18 06:16:22
66,-3.944089,-38.718819,Parado,-51.758919,68,0,1.330114,24,2021-08-18 06:16:27
67,-3.944101,-38.718876,Parado,-42.097485,68,0,2.713762,24,2021-08-18 06:16:07
68,-3.944147,-38.718822,Carregando,-63.847195,79,3800,2.211366,24,2021-08-18 06:17:50
70,-3.943961,-38.718872,Carregando,-1.782078,84,5250,4.108379,24,2021-08-18 06:18:42
71,-3.944033,-38.718769,Carregando,-2.368758,96,6300,3.667079,24,2021-08-18 06:20:48
72,-3.944066,-38.718826,Carregando,-2.326585,99,7050,0.6177,24,2021-08-18 06:21:17
73,-3.94407,-38.718822,Carregando,-2.209718,99,8650,0.415918,24,2021-08-18 06:21:38
74,-3.944069,-38.71883,Carregando,-2.304943,99,10250,0.667116,24,2021-08-18 06:22:13
75,-3.944042,-38.718815,Parado,-2.267796,99,0,0.317086,24,2021-08-18 06:23:17
76,-3.944047,-38.718803,Parado,-2.192233,100,0,1.389825,24,2021-08-18 06:23:06
77,-3.944054,-38.718807,Parado,-2.192854,99,0,0.846249,24,2021-08-18 06:24:02
78,-3.944077,-38.718811,Parado,-2.097175,98,0,0.296496,24,2021-08-18 06:24:53
79,-3.944039,-38.718807,Parado,-2.112873,98,0,0.86478,24,2021-08-18 06:26:17
80,-3.944043,-38.718803,Parado,-2.165753,99,0,0.914196,24,2021-08-18 06:26:27
81,-3.944034,-38.718803,Parado,-2.2211,99,0,1.509247,24,2021-08-18 06:26:34
82,-3.944028,-38.718803,Parado,-2.229837,99,0,0.502396,24,2021-08-18 06:26:37
83,-3.94403,-38.718815,Parado,-2.251839,99,0,1.225105,24,2021-08-18 06:26:42
84,-3.944045,-38.718807,Parado,-2.176271,98,0,0.975966,24,2021-08-18 06:27:39
85,-3.944028,-38.7188,Parado,-2.294827,99,0,1.813979,24,2021-08-18 06:28:34
86,-3.943998,-38.718765,Parado,-2.188463,99,0,1.093329,24,2021-08-18 06:28:48
87,-3.944003,-38.718796,Parado,-2.164131,99,0,1.212751,24,2021-08-18 06:29:04
88,-3.944029,-38.71875,Parado,-2.220078,99,0,0.780361,24,2021-08-18 06:29:54
89,-3.944019,-38.718727,Parado,-2.151839,99,0,0.932727,24,2021-08-18 06:30:10
90,-3.944036,-38.718731,Parado,-2.19837,99,0,0.656821,24,2021-08-18 06:31:10
91,-3.944015,-38.718784,Parado,-2.12491,99,0,1.931342,24,2021-08-18 06:32:08
92,-3.944022,-38.718796,Parado,-2.280291,98,0,0.253257,24,2021-08-18 06:32:48
93,-3.944074,-38.718822,Parado,-2.100901,98,0,0.912137,24,2021-08-18 06:34:40
94,-3.944037,-38.718826,Parado,-2.08923,99,0,1.505129,24,2021-08-18 06:35:40
95,-3.944049,-38.718861,Parado,-2.085121,99,0,0.455039,24,2021-08-18 06:36:24
96,-3.944039,-38.718861,Parado,-2.115388,99,0,1.202456,24,2021-08-18 06:36:29
97,-3.943968,-38.718742,Parado,-2.037584,99,0,1.272462,24,2021-08-18 06:37:00
98,-3.943995,-38.71875,Parado,-2.103527,99,0,0.938904,24,2021-08-18 06:37:09
99,-3.944033,-38.718792,Parado,-1.99238,98,0,1.00891,24,2021-08-18 06:37:18
100,-3.944049,-38.718746,Parado,-2.119951,76,0,0.55593,24,2021-08-18 06:38:54
101,-3.944108,-38.718838,Parado,-3.140607,78,0,1.81192,24,2021-08-18 06:39:29
102,-3.944073,-38.718811,Parado,-1.325167,79,0,1.912811,24,2021-08-18 06:39:45
103,-3.944016,-38.718803,Parado,-0.444097,80,0,1.356881,24,2021-08-18 06:40:08
104,-3.944041,-38.718792,Parado,-0.973621,78,0,0.784479,24,2021-08-18 06:40:34
105,-3.944085,-38.718838,Parado,-1.012105,98,0,3.199686,24,2021-08-18 06:41:38
106,-3.944005,-38.718784,Parado,-1.06241,98,0,0.292378,24,2021-08-18 06:42:20
107,-3.944021,-38.718872,Parado,-1.06081,98,0,2.649933,24,2021-08-18 06:42:51
108,-3.944057,-38.718872,Parado,-1.072994,99,0,1.19422,24,2021-08-18 06:43:10
109,-3.944105,-38.718864,Parado,-1.012508,98,0,0.113245,24,2021-08-18 06:43:29
110,-3.944121,-38.718868,Parado,-1.042267,98,0,1.562781,24,2021-08-18 06:43:50
111,-3.944094,-38.718838,Parado,-0.978975,98,0,0.722709,24,2021-08-18 06:44:36
112,-3.944102,-38.718815,Parado,-1.032075,99,0,1.408356,24,2021-08-18 06:44:56
113,-3.944093,-38.718803,Parado,-0.962714,98,0,0.537399,24,2021-08-18 06:47:31
114,-3.944061,-38.71883,Parado,-0.852918,99,0,1.842805,24,2021-08-18 06:48:51
115,-3.944072,-38.718853,Parado,-0.979977,99,0,0.238844,24,2021-08-18 06:49:16
116,-3.944015,-38.718822,Parado,-0.984546,99,0,0.393269,24,2021-08-18 06:49:35
117,-3.944019,-38.718822,Parado,-0.982117,99,0,0.982143,24,2021-08-18 06:49:45
118,-3.944033,-38.718838,Parado,-1.031865,98,0,0.362384,24,2021-08-18 06:50:24
119,-3.944013,-38.718899,Parado,-0.974358,99,0,0.321204,24,2021-08-18 06:51:25
120,-3.94394,-38.718884,Parado,-1.02253,99,0,2.975255,24,2021-08-18 06:51:34
121,-3.944007,-38.718857,Parado,-0.979575,99,0,0.135894,24,2021-08-18 06:52:02
122,-3.944015,-38.718826,Parado,-0.967169,98,0,2.785827,24,2021-08-18 06:52:27
123,-3.944034,-38.718826,Parado,-1.016744,98,0,1.247754,24,2021-08-18 06:52:41
124,-3.94402,-38.718796,Parado,-0.931574,99,0,0.570343,24,2021-08-18 06:53:31
125,-3.943996,-38.7188,Parado,-0.998972,98,0,1.165394,24,2021-08-18 06:54:09
126,-3.943999,-38.718807,Parado,-1.053093,98,0,0.621818,24,2021-08-18 06:54:15
127,-3.944008,-38.718792,Parado,-0.89646,98,0,0.253257,24,2021-08-18 06:56:20
128,-3.944025,-38.718788,Parado,-0.990674,98,0,0.831836,24,2021-08-18 06:56:39
129,-3.944042,-38.7188,Parado,-0.885243,98,0,0.426213,24,2021-08-18 06:57:01
130,-3.944035,-38.718811,Parado,-0.830946,98,0,0.584756,24,2021-08-18 06:57:24
131,-3.944035,-38.718807,Parado,-0.994324,98,0,1.290993,24,2021-08-18 06:57:41
132,-3.944033,-38.718803,Parado,-0.89669,98,0,1.161276,24,2021-08-18 06:57:47
133,-3.944035,-38.718788,Parado,-1.032848,99,0,0.592992,24,2021-08-18 06:58:14
134,-3.944022,-38.718788,Parado,-0.92086,99,0,0.809187,24,2021-08-18 06:58:45
135,-3.944044,-38.718815,Parado,-0.808545,99,0,0.294437,24,2021-08-18 06:59:23
137,-3.944101,-38.718861,Parado,12.627673,85,0,3.076146,24,2021-08-18 06:09:42
138,-3.944002,-38.718838,Parado,12.525615,76,0,2.829066,24,2021-08-18 06:09:53
139,-3.944041,-38.718792,Parado,-1.088346,98,0,1.367176,24,2021-08-18 07:00:12
140,-3.944064,-38.718807,Parado,-0.849016,98,0,1.140686,24,2021-08-18 07:00:43
141,-3.944037,-38.718807,Parado,-0.886548,99,0,0.784479,24,2021-08-18 07:10:23
142,-3.944031,-38.718822,Parado,-0.876745,98,0,0.152366,24,2021-08-18 07:12:21
143,-3.94405,-38.718849,Parado,-0.846933,98,0,0.790656,24,2021-08-18 07:14:20
144,-3.944066,-38.718826,Parado,-0.754761,98,0,1.321878,24,2021-08-18 07:14:34
145,-3.944055,-38.71883,Parado,-0.749477,98,0,0.916255,24,2021-08-18 07:15:04
146,-3.943977,-38.718811,Parado,-0.753213,99,0,0.809187,24,2021-08-18 07:16:30
147,-3.943984,-38.718811,Parado,-0.804345,99,0,0.529163,24,2021-08-18 07:16:34
148,-3.944,-38.718803,Parado,-0.819485,98,0,1.93546,24,2021-08-18 07:16:39
149,-3.944044,-38.718758,Parado,-0.683131,99,0,0.687706,24,2021-08-18 07:17:29
150,-3.94405,-38.718796,Parado,-0.781105,98,0,0.255316,24,2021-08-18 07:04:05
151,-3.944045,-38.718811,Parado,-0.90103,99,0,0.047357,24,2021-08-18 07:04:58
152,-3.944052,-38.718807,Parado,-0.898681,99,0,2.196953,24,2021-08-18 07:05:18
153,-3.944047,-38.718807,Parado,-0.931097,99,0,1.721324,24,2021-08-18 07:05:45
154,-3.944049,-38.718792,Parado,-0.879149,99,0,1.519542,24,2021-08-18 07:06:32
155,-3.944058,-38.718765,Parado,-0.854821,99,0,0.840072,24,2021-08-18 07:07:42
156,-3.944077,-38.718864,Parado,-0.77398,98,0,0.2059,24,2021-08-18 07:09:32
157,-3.936479,-38.724171,Parado,10.64842,0,0,3.522949,24,2021-08-05 21:43:37
158,-3.936486,-38.724205,Parado,10.499152,0,0,0.86478,24,2021-08-05 21:43:42
159,-3.936471,-38.724201,Parado,10.594008,0,0,1.515424,24,2021-08-05 21:43:45
160,-3.936444,-38.724163,Parado,10.486401,0,0,4.072702,24,2021-08-05 21:43:50
165,-3.934936,-38.722416,Parado,10.034171,0,0,0.98832,24,2021-08-05 21:44:49
166,-3.93492,-38.722317,Movimento,10.125184,0,0,7.591533,24,2021-08-05 21:44:52
167,-3.934986,-38.722286,Parado,9.98082,0,0,0.652703,24,2021-08-05 21:44:57
168,-3.935011,-38.722256,Parado,10.083798,0,0,0.096773,24,2021-08-05 21:45:08
169,-3.93502,-38.722225,Parado,10.049982,0,0,1.165394,24,2021-08-05 21:45:19
170,-3.93503,-38.722244,Parado,9.989778,0,0,0.224431,24,2021-08-05 21:45:30
171,-3.935042,-38.722279,Parado,10.123096,0,0,0.527104,24,2021-08-05 21:45:38
172,-3.935049,-38.722237,Parado,10.077703,0,0,0.914196,24,2021-08-05 21:45:49
173,-3.935054,-38.722336,Parado,10.174125,1,0,0.621818,24,2021-08-05 21:45:57
174,-3.935071,-38.72234,Parado,10.137641,0,0,0.115304,24,2021-08-05 21:46:08
175,-3.935096,-38.72237,Parado,10.12524,0,0,0.469452,24,2021-08-05 21:46:14
176,-3.935111,-38.722393,Parado,9.998808,0,0,0.586815,24,2021-08-05 21:46:19
177,-3.935111,-38.722393,Parado,10.125719,0,0,1.060385,24,2021-08-05 21:46:22
178,-3.935111,-38.722397,Parado,9.902836,0,0,0.06177,24,2021-08-05 21:46:28
179,-3.935111,-38.722385,Parado,10.118514,0,0,0.30885,24,2021-08-05 21:46:33
180,-3.935112,-38.722389,Parado,9.921289,0,0,0.154425,24,2021-08-05 21:46:39
181,-3.935058,-38.72234,Parado,9.988958,0,0,0.704178,24,2021-08-05 21:46:03
182,-3.935121,-38.722454,Parado,9.985749,0,0,1.548368,24,2021-08-05 21:46:49
183,-3.935111,-38.722439,Parado,10.138965,1,0,0.625936,24,2021-08-05 21:46:58
184,-3.935112,-38.722389,Parado,9.978894,0,0,0.860662,24,2021-08-05 21:47:09
185,-3.935112,-38.72237,Parado,10.065062,1,0,0.537399,24,2021-08-05 21:47:14
186,-3.935111,-38.72234,Parado,10.133037,1,0,1.354822,24,2021-08-05 21:47:19
187,-3.935104,-38.722263,Parado,9.983401,1,0,2.662287,24,2021-08-05 21:47:22
188,-3.935092,-38.722149,Parado,10.057074,1,0,2.433738,24,2021-08-05 21:47:28
190,-3.935121,-38.72216,Parado,9.969721,0,0,1.404238,24,2021-08-05 21:47:53
191,-3.935117,-38.722179,Parado,10.028107,0,0,2.86201,24,2021-08-05 21:47:56
192,-3.935103,-38.72221,Parado,10.109876,0,0,0.516809,24,2021-08-05 21:48:15
193,-3.9351,-38.722252,Parado,9.964551,0,0,0.490042,24,2021-08-05 21:48:23
194,-3.935101,-38.722275,Parado,9.717174,0,0,0.496219,24,2021-08-05 21:48:34
195,-3.935097,-38.722244,Parado,10.025124,0,0,1.216869,24,2021-08-05 21:48:40
196,-3.935098,-38.722229,Parado,10.025053,0,0,0.455039,24,2021-08-05 21:48:45
197,-3.935099,-38.722195,Parado,9.730538,0,0,1.2354,24,2021-08-05 21:48:48
198,-3.935217,-38.722507,Movimento,9.733683,0,0,10.540021,24,2021-08-05 21:48:54
199,-3.935181,-38.722549,Movimento,9.636262,1,0,5.901094,24,2021-08-05 21:48:59
201,-3.935112,-38.722378,Parado,9.551558,0,0,0.327381,24,2021-08-05 21:49:34
202,-3.935126,-38.722527,Carregando,9.913204,0,3750,4.616278,24,2021-08-05 21:49:45
203,-3.935143,-38.722649,Carregando,9.627199,0,3750,4.9416,24,2021-08-05 21:49:55
204,-3.935156,-38.722546,Parado,9.757401,1,0,3.310872,24,2021-08-05 21:49:05
205,-3.935129,-38.722603,Carregando,9.890698,0,3750,3.378819,24,2021-08-05 21:50:09
206,-3.935102,-38.722424,Carregando,9.712029,0,3750,3.174978,24,2021-08-05 21:50:15
208,-3.935024,-38.721905,Parado,9.759896,0,0,4.554508,24,2021-08-05 21:50:36
209,-3.935027,-38.721958,Parado,9.746934,0,0,2.336965,24,2021-08-05 21:50:41
210,-3.935031,-38.721985,Parado,9.777708,0,0,1.325996,24,2021-08-05 21:50:47
211,-3.935133,-38.722607,Carregando,9.581841,0,3750,2.190776,24,2021-08-05 21:50:04
214,-3.935038,-38.722126,Parado,9.857386,0,0,0.920373,24,2021-08-05 21:51:29
215,-3.935038,-38.722145,Parado,9.731302,0,0,0.327381,24,2021-08-05 21:51:34
216,-3.935037,-38.722145,Parado,9.626985,0,0,0.187369,24,2021-08-05 21:51:40
218,-3.935035,-38.722248,Parado,9.733366,0,0,4.696579,24,2021-08-05 21:52:00
220,-3.935026,-38.722229,Parado,9.459435,0,0,0.492101,24,2021-08-05 21:52:27
221,-3.935021,-38.72221,Parado,9.863625,0,0,1.159217,24,2021-08-05 21:52:30
