,latitude,longitude,status,angle,fuel,weight,velocity,imei,date_created
164,-3.935029,-38.722214,Parado,9.627844,88,0,0.193546,24,2021-08-05 21:56:55
165,-3.935038,-38.722218,Parado,9.764123,86,0,2.505803,24,2021-08-05 21:56:58
166,-3.935054,-38.722225,Parado,9.499811,89,0,1.025382,24,2021-08-05 21:57:09
167,-3.935012,-38.722214,Parado,9.554533,86,0,0.897724,24,2021-08-05 21:57:20
168,-3.935024,-38.722225,Parado,24.079245,86,0,0.685647,24,2021-08-05 21:57:25
169,-3.935029,-38.722218,Parado,8.612813,88,0,0.566225,24,2021-08-05 21:57:28
170,-3.935994,-38.721878,Parado,50.265312,88,0,0.315027,24,2021-08-06 12:44:28
171,-3.935997,-38.721897,Parado,50.260796,86,0,0.887429,24,2021-08-06 12:44:31
172,-3.935914,-38.720898,Parado,50.25782,87,0,0.30885,24,2021-08-06 12:44:42
173,-3.935929,-38.720879,Parado,50.259125,86,0,0.189428,24,2021-08-06 12:44:47
174,-3.935925,-38.720867,Parado,50.192139,89,0,0.784479,24,2021-08-06 12:44:53
175,-3.935932,-38.72086,Parado,50.256538,87,0,0.994497,24,2021-08-06 12:44:58
186,-3.935932,-38.72084,Parado,50.17141,86,0,0.481806,24,2021-08-06 12:45:09
176,-3.935935,-38.720829,Parado,50.204987,86,0,0.399446,24,2021-08-06 12:45:11
177,-3.935947,-38.720776,Parado,50.287235,89,0,1.531896,24,2021-08-06 12:45:17
178,-3.935953,-38.720745,Parado,50.207272,89,0,3.599132,24,2021-08-06 12:45:22
179,-3.935962,-38.720718,Parado,50.219627,87,0,3.422058,24,2021-08-06 12:45:28
180,-3.935958,-38.72073,Parado,50.269402,88,0,1.130391,24,2021-08-06 12:45:33
181,-3.935965,-38.720718,Parado,50.198944,89,0,1.991053,24,2021-08-06 12:45:38
182,-3.935961,-38.720718,Parado,50.177475,87,0,0.154425,24,2021-08-06 12:45:44
183,-3.935965,-38.720722,Parado,50.272537,88,0,1.078916,24,2021-08-06 12:45:49
184,-3.93596,-38.72076,Parado,50.249435,88,0,2.829066,24,2021-08-06 12:45:52
185,-3.935963,-38.720741,Parado,50.184704,88,0,0.30885,24,2021-08-06 12:45:57
192,-3.935975,-38.720726,Parado,50.205688,86,0,1.630728,24,2021-08-06 12:46:03
197,-3.935971,-38.720764,Parado,50.24559,88,0,2.707585,24,2021-08-06 12:46:08
187,-3.935975,-38.720757,Parado,50.199486,87,0,1.573076,24,2021-08-06 12:46:14
188,-3.935973,-38.720715,Parado,50.196079,87,0,0.92655,24,2021-08-06 12:46:19
189,-3.935976,-38.720692,Parado,50.221935,86,0,2.398735,24,2021-08-06 12:46:22
190,-3.935981,-38.720634,Parado,50.247517,89,0,1.385707,24,2021-08-06 12:46:27
191,-3.935978,-38.720631,Parado,50.188835,88,0,0.109127,24,2021-08-06 12:46:33
193,-3.93597,-38.72057,Parado,50.228783,87,0,2.240192,24,2021-08-06 12:46:38
194,-3.935973,-38.720608,Parado,50.233025,89,0,0.621818,24,2021-08-06 12:46:43
195,-3.935957,-38.721138,Parado,50.221943,89,0,0.086478,24,2021-08-06 12:46:49
196,-3.935959,-38.721493,Parado,50.201633,86,0,0.498278,24,2021-08-06 12:46:54
198,-3.935963,-38.72155,Parado,50.241772,88,0,0.996556,24,2021-08-06 12:47:00
207,-3.935944,-38.721523,Parado,50.281742,88,0,3.051438,24,2021-08-06 12:47:02
199,-3.9359,-38.721451,Parado,50.220783,88,0,2.293726,24,2021-08-06 12:47:08
200,-3.935893,-38.721394,Parado,50.18396,86,0,1.342468,24,2021-08-06 12:47:13
201,-3.935899,-38.721325,Parado,50.319736,89,0,0.982143,24,2021-08-06 12:47:18
202,-3.935897,-38.72126,Movimento,50.198887,89,0,5.16809,24,2021-08-06 12:47:24
203,-3.935892,-38.721214,Parado,50.143318,88,0,4.752172,24,2021-08-06 12:47:27
204,-3.935923,-38.721233,Parado,50.306438,89,0,1.933401,24,2021-08-06 12:47:32
205,-3.935932,-38.721489,Parado,50.308311,87,0,0.333558,24,2021-08-06 12:47:37
206,-3.935948,-38.721607,Parado,50.111595,86,0,2.207248,24,2021-08-06 12:47:43
208,-3.935957,-38.721554,Parado,50.250492,87,0,4.783057,24,2021-08-06 12:47:48
209,-3.935961,-38.721523,Parado,50.282234,89,0,2.153714,24,2021-08-06 12:47:54
210,-3.935947,-38.7215,Parado,50.172749,88,0,0.714473,24,2021-08-06 12:47:59
219,-3.93594,-38.721478,Parado,50.267826,87,0,0.415918,24,2021-08-06 12:48:04
211,-3.93594,-38.721424,Parado,50.239971,89,0,1.321878,24,2021-08-06 12:48:10
212,-3.935935,-38.721386,Parado,50.216667,86,0,1.733678,24,2021-08-06 12:48:13
213,-3.935942,-38.721371,Parado,50.223709,89,0,1.319819,24,2021-08-06 12:48:18
214,-3.935905,-38.721241,Parado,50.241119,89,0,4.453617,24,2021-08-06 12:48:23
215,-3.935895,-38.721069,Movimento,50.256294,89,0,6.172882,24,2021-08-06 12:48:29
216,-3.93589,-38.721363,Parado,50.243099,88,0,0.572402,24,2021-08-06 12:48:34
217,-3.935904,-38.721474,Parado,50.211304,88,0,1.128332,24,2021-08-06 12:48:37
218,-3.935946,-38.7216,Parado,50.212193,89,0,0.595051,24,2021-08-06 12:48:42
220,-3.935953,-38.721638,Parado,50.24865,86,0,1.393943,24,2021-08-06 12:48:48
221,-3.935985,-38.721691,Parado,50.22324,86,0,1.00891,24,2021-08-06 12:48:53
222,-3.93601,-38.72168,Parado,50.28458,88,0,0.380915,24,2021-08-06 12:48:59
231,-3.936026,-38.721634,Parado,50.276993,89,0,0.304732,24,2021-08-06 12:49:04
223,-3.936045,-38.721607,Parado,50.235851,88,0,0.230608,24,2021-08-06 12:49:09
224,-3.93605,-38.721577,Parado,50.228138,86,0,0.413859,24,2021-08-06 12:49:15
225,-3.936057,-38.721531,Parado,50.255665,86,0,0.662998,24,2021-08-06 12:49:20
226,-3.936059,-38.721508,Parado,50.272701,86,0,1.076857,24,2021-08-06 12:49:23
227,-3.936053,-38.721458,Parado,50.258202,87,0,1.031559,24,2021-08-06 12:49:28
228,-3.93604,-38.721352,Parado,50.214348,89,0,2.55316,24,2021-08-06 12:49:34
229,-3.936037,-38.721298,Parado,50.260883,87,0,2.316375,24,2021-08-06 12:49:39
230,-3.936025,-38.721176,Parado,50.271317,87,0,4.801588,24,2021-08-06 12:49:44
232,-3.936023,-38.721149,Parado,50.226398,89,0,4.136531,24,2021-08-06 12:49:47
233,-3.936012,-38.721054,Movimento,50.25,89,0,6.061696,24,2021-08-06 12:49:53
241,-3.935999,-38.720901,Parado,50.220963,88,0,2.03841,24,2021-08-06 12:50:03
234,-3.935998,-38.72084,Parado,50.224159,86,0,3.434412,24,2021-08-06 12:50:09
235,-3.93599,-38.720768,Parado,50.294594,88,0,4.054171,24,2021-08-06 12:50:14
236,-3.935985,-38.720722,Parado,50.227711,87,0,4.227127,24,2021-08-06 12:50:20
237,-3.93598,-38.720692,Parado,50.193214,88,0,3.689728,24,2021-08-06 12:50:25
238,-3.935974,-38.720654,Parado,50.301147,86,0,3.916218,24,2021-08-06 12:50:30
239,-3.935974,-38.720654,Parado,50.317772,88,0,4.204478,24,2021-08-06 12:50:33
240,-3.935967,-38.720657,Parado,50.165855,87,0,3.220276,24,2021-08-06 12:50:39
242,-3.935982,-38.720657,Parado,50.193649,89,0,2.514039,24,2021-08-06 12:50:57
251,-3.935978,-38.720665,Parado,50.255341,86,0,2.036351,24,2021-08-06 12:51:03
243,-3.935975,-38.720661,Parado,50.256672,87,0,2.452269,24,2021-08-06 12:51:08
244,-3.935975,-38.720654,Parado,50.173714,89,0,1.686321,24,2021-08-06 12:51:14
245,-3.935975,-38.720654,Parado,50.243362,89,0,1.533955,24,2021-08-06 12:51:19
246,-3.935974,-38.720646,Parado,50.236149,89,0,2.094003,24,2021-08-06 12:51:25
247,-3.935973,-38.720654,Parado,50.197651,86,0,1.037736,24,2021-08-06 12:51:30
248,-3.935969,-38.720646,Parado,50.252274,88,0,1.834569,24,2021-08-06 12:51:35
249,-3.935963,-38.720638,Parado,50.219627,87,0,2.49139,24,2021-08-06 12:51:38
250,-3.93597,-38.720863,Parado,50.190605,87,0,0.172956,24,2021-08-06 12:51:43
252,-3.935965,-38.720852,Carregando,50.252647,86,3850,0.150307,24,2021-08-06 12:51:49
253,-3.935975,-38.720837,Carregando,50.211174,87,4130,1.109801,24,2021-08-06 12:51:54
254,-3.936008,-38.720825,Carregando,50.218666,87,4750,1.941637,24,2021-08-06 12:52:00
255,-3.936055,-38.720833,Carregando,50.205143,88,5100,1.824274,24,2021-08-06 12:52:10
256,-3.936039,-38.720833,Carregando,50.201885,86,5520,0.339735,24,2021-08-06 12:52:16
257,-3.936041,-38.720829,Carregando,50.252457,88,5870,1.280698,24,2021-08-06 12:52:19
258,-3.936021,-38.720829,Carregando,50.185783,86,6320,0.745358,24,2021-08-06 12:52:24
259,-3.936004,-38.720833,Carregando,50.211159,86,7070,0.80301,24,2021-08-06 12:52:29
260,-3.936009,-38.720829,Carregando,50.301853,89,7390,1.099506,24,2021-08-06 12:52:35
261,-3.935998,-38.720825,Carregando,50.113377,89,7850,0.522986,24,2021-08-06 12:52:40
262,-3.935982,-38.720821,Carregando,50.226719,88,8200,0.49416,24,2021-08-06 12:52:46
263,-3.93598,-38.720821,Carregando,50.324417,86,8680,0.714473,24,2021-08-06 12:52:48
264,-3.935981,-38.72081,Carregando,50.222225,88,9140,2.01782,24,2021-08-06 12:52:54
265,-3.935989,-38.720802,Carregando,50.139523,89,9390,0.539458,24,2021-08-06 12:52:59
276,-3.936004,-38.720791,Parado,50.302486,89,0,1.83251,24,2021-08-06 12:53:05
266,-3.935992,-38.720776,Parado,50.27092,86,0,0.592992,24,2021-08-06 12:53:10
267,-3.935991,-38.720772,Parado,50.135899,89,0,0.010295,24,2021-08-06 12:53:15
268,-3.935996,-38.72076,Parado,50.162766,87,0,0.325322,24,2021-08-06 12:53:18
269,-3.935999,-38.72073,Parado,50.2752,88,0,0.774184,24,2021-08-06 12:53:23
270,-3.935994,-38.720722,Parado,50.26255,89,0,0.681529,24,2021-08-06 12:53:29
271,-3.935978,-38.72073,Parado,50.164505,88,0,0.611523,24,2021-08-06 12:53:34
272,-3.935965,-38.72073,Parado,50.241104,86,0,0.578579,24,2021-08-06 12:53:40
273,-3.93596,-38.720737,Parado,50.26474,87,0,0.253257,24,2021-08-06 12:53:45
274,-3.935973,-38.720737,Parado,50.198093,86,0,0.475629,24,2021-08-06 12:53:50
275,-3.935987,-38.720737,Parado,50.236774,87,0,1.404238,24,2021-08-06 12:53:56
279,-3.935981,-38.720749,Parado,50.276764,88,0,0.413859,24,2021-08-06 12:54:01
287,-3.935978,-38.720749,Parado,50.228065,88,0,0.642408,24,2021-08-06 12:54:04
277,-3.935974,-38.720757,Parado,50.216274,89,0,0.496219,24,2021-08-06 12:54:09
278,-3.935968,-38.720764,Parado,50.29126,87,0,0.273847,24,2021-08-06 12:54:15
280,-3.935959,-38.720783,Parado,50.22649,86,0,2.087826,24,2021-08-06 12:54:20
281,-3.935954,-38.720772,Parado,50.271412,88,0,0.207959,24,2021-08-06 12:54:26
282,-3.935966,-38.720768,Parado,50.175217,89,0,0.22649,24,2021-08-06 12:54:31
283,-3.935976,-38.720737,Parado,50.153564,86,0,0.961553,24,2021-08-06 12:54:34
284,-3.935984,-38.720703,Parado,50.286629,89,0,1.0295,24,2021-08-06 12:54:39
285,-3.935988,-38.720703,Parado,50.279049,89,0,1.447477,24,2021-08-06 12:54:45
286,-3.935982,-38.720722,Parado,50.16077,87,0,1.060385,24,2021-08-06 12:54:50
288,-3.935981,-38.72073,Parado,50.301125,88,0,1.40012,24,2021-08-06 12:55:01
299,-3.935977,-38.72073,Parado,50.247948,89,0,0.592992,24,2021-08-06 12:55:04
289,-3.935974,-38.720715,Parado,50.184875,88,0,1.571017,24,2021-08-06 12:55:09
290,-3.935971,-38.720711,Parado,50.245644,87,0,0.117363,24,2021-08-06 12:55:14
291,-3.935966,-38.720703,Parado,50.304703,86,0,0.765948,24,2021-08-06 12:55:20
292,-3.935961,-38.720703,Parado,50.158382,86,0,0.401505,24,2021-08-06 12:55:25
293,-3.935957,-38.720703,Parado,50.222149,89,0,1.072739,24,2021-08-06 12:55:31
294,-3.935966,-38.720711,Parado,50.306171,86,0,1.332173,24,2021-08-06 12:55:36
295,-3.93597,-38.720722,Parado,50.15662,86,0,0.805069,24,2021-08-06 12:55:41
296,-3.935971,-38.720737,Parado,50.165802,86,0,0.883311,24,2021-08-06 12:55:47
297,-3.935971,-38.720737,Parado,50.244431,86,0,1.402179,24,2021-08-06 12:55:49
298,-3.935973,-38.720749,Parado,50.293762,86,0,0.90596,24,2021-08-06 12:55:55
300,-3.935986,-38.720764,Parado,50.288025,88,0,1.266285,24,2021-08-06 12:56:11
301,-3.935989,-38.720772,Parado,50.179932,89,0,0.70006,24,2021-08-06 12:56:17
302,-3.935986,-38.720768,Parado,50.164051,89,0,0.356207,24,2021-08-06 12:56:19
303,-3.935979,-38.720772,Parado,50.258682,89,0,0.306791,24,2021-08-06 12:56:25
304,-3.935973,-38.720768,Parado,50.246098,87,0,0.642408,24,2021-08-06 12:56:30
305,-3.935966,-38.720772,Parado,50.176041,89,0,0.356207,24,2021-08-06 12:56:36
306,-3.935961,-38.720791,Parado,50.274666,89,0,0.459157,24,2021-08-06 12:56:46
307,-3.935968,-38.720802,Parado,50.257542,87,0,0.951258,24,2021-08-06 12:56:49
308,-3.935965,-38.720791,Parado,50.232185,89,0,0.945081,24,2021-08-06 12:56:54
311,-3.935966,-38.720791,Parado,50.220291,89,0,0.525045,24,2021-08-06 12:57:00
318,-3.935958,-38.720802,Parado,50.220493,88,0,0.630054,24,2021-08-06 12:57:05
309,-3.935953,-38.720798,Parado,50.242889,86,0,0.405623,24,2021-08-06 12:57:11
310,-3.935952,-38.720787,Parado,50.264683,87,0,0.463275,24,2021-08-06 12:57:16
312,-3.935948,-38.720768,Parado,50.173107,87,0,0.768007,24,2021-08-06 12:57:21
313,-3.935947,-38.720753,Parado,50.201321,88,0,0.08236,24,2021-08-06 12:57:27
314,-3.935952,-38.72076,Parado,50.330086,86,0,0.179133,24,2021-08-06 12:57:32
315,-3.935952,-38.72076,Parado,50.295654,86,0,0.798892,24,2021-08-06 12:57:35
316,-3.93595,-38.720757,Parado,50.15696,88,0,0.541517,24,2021-08-06 12:57:40
317,-3.935943,-38.720753,Parado,50.225845,88,0,1.128332,24,2021-08-06 12:57:46
321,-3.935944,-38.720707,Parado,50.258263,87,0,1.068621,24,2021-08-06 12:58:02
326,-3.935943,-38.720699,Parado,50.336525,87,0,0.527104,24,2021-08-06 12:58:05
319,-3.935939,-38.720692,Parado,50.300861,86,0,0.337676,24,2021-08-06 12:58:10
320,-3.935942,-38.720688,Parado,50.193043,86,0,0.506514,24,2021-08-06 12:58:16
322,-3.935935,-38.720669,Parado,50.309704,89,0,0.940963,24,2021-08-06 12:58:21
323,-3.935937,-38.720638,Parado,50.23175,88,0,0.765948,24,2021-08-06 12:58:34
324,-3.935935,-38.720627,Parado,50.313519,89,0,0.527104,24,2021-08-06 12:58:40
325,-3.935902,-38.720619,Parado,50.286884,86,0,0.88537,24,2021-08-06 12:58:56
329,-3.935904,-38.720619,Parado,50.335346,86,0,0.356207,24,2021-08-06 12:59:02
332,-3.935904,-38.720623,Parado,50.248688,89,0,0.623877,24,2021-08-06 12:59:04
327,-3.935912,-38.720627,Parado,50.268032,88,0,0.098832,24,2021-08-06 12:59:10
328,-3.935905,-38.720627,Parado,50.345577,86,0,1.422769,24,2021-08-06 12:59:15
330,-3.935904,-38.720631,Parado,50.229382,87,0,2.604635,24,2021-08-06 12:59:37
331,-3.93594,-38.720623,Parado,50.216423,86,0,2.668464,24,2021-08-06 12:59:42
342,-3.935905,-38.720699,Parado,50.21225,88,0,1.424828,24,2021-08-06 13:00:06
333,-3.935913,-38.720715,Parado,50.234787,88,0,1.982817,24,2021-08-06 13:00:12
334,-3.935931,-38.720715,Parado,50.333096,86,0,1.07068,24,2021-08-06 13:00:17
335,-3.935942,-38.720726,Parado,50.29158,87,0,3.133798,24,2021-08-06 13:00:20
336,-3.935974,-38.720722,Parado,50.164429,88,0,4.103587,24,2021-08-06 13:00:25
337,-3.935987,-38.720657,Parado,50.350216,88,0,0.875075,24,2021-08-06 13:00:36
338,-3.935973,-38.720661,Parado,50.101994,87,0,1.958109,24,2021-08-06 13:00:42
339,-3.93596,-38.72068,Parado,50.251972,86,0,1.371294,24,2021-08-06 13:00:47
340,-3.935955,-38.72068,Parado,50.342445,89,0,0.877134,24,2021-08-06 13:00:52
341,-3.935954,-38.720699,Parado,50.243755,88,0,1.486598,24,2021-08-06 13:00:55
436,-3.943674,-38.719425,Parado,5.608943,86,0,1.000674,24,2021-08-06 13:01:07
420,-3.943666,-38.719437,Parado,5.888121,87,0,0.49416,24,2021-08-06 13:01:09
421,-3.93594,-38.720757,Parado,50.201939,86,0,1.548368,24,2021-08-06 13:01:11
422,-3.943617,-38.719437,Parado,5.882557,5,0,0.32944,24,2021-08-06 13:01:15
423,-3.935944,-38.720745,Parado,50.144955,89,0,0.879193,24,2021-08-06 13:01:17
424,-3.943607,-38.719433,Parado,5.836416,5,0,0.568284,24,2021-08-06 13:01:26
425,-3.935935,-38.720741,Parado,50.191696,89,0,0.323263,24,2021-08-06 13:01:27
427,-3.935935,-38.720741,Parado,50.116817,88,0,0.28826,24,2021-08-06 13:01:30
426,-3.943619,-38.719437,Parado,8.68257,5,0,1.025382,24,2021-08-06 13:01:31
428,-3.943605,-38.719429,Parado,5.519582,89,0,1.453654,24,2021-08-06 13:01:36
429,-3.943605,-38.719425,Parado,6.287931,86,0,0.53534,24,2021-08-06 13:01:39
430,-3.935948,-38.720715,Parado,50.278397,88,0,0.302673,24,2021-08-06 13:01:41
431,-3.94361,-38.719421,Parado,6.161719,88,0,1.60602,24,2021-08-06 13:01:45
432,-3.935953,-38.720707,Parado,50.142441,88,0,0.807128,24,2021-08-06 13:01:46
433,-3.94363,-38.719425,Parado,6.242855,89,0,1.097447,24,2021-08-06 13:01:50
434,-3.943668,-38.719467,Movimento,6.043834,89,0,6.102876,24,2021-08-06 13:01:56
435,-3.935958,-38.720715,Parado,50.259186,89,0,0.652703,24,2021-08-06 13:01:57
546,-3.943666,-38.719463,Parado,41.782646,88,0,1.540132,24,2021-08-06 13:02:01
555,-3.935961,-38.720707,Parado,50.139725,88,0,0.090596,24,2021-08-06 13:02:03
567,-3.94366,-38.719501,Parado,6.373743,88,0,1.743973,24,2021-08-06 13:02:06
547,-3.943657,-38.71949,Parado,6.409005,5,0,0.899783,24,2021-08-06 13:02:09
548,-3.935962,-38.720707,Parado,50.281799,88,0,0.166779,24,2021-08-06 13:02:11
549,-3.943652,-38.719482,Parado,6.439803,86,0,0.951258,24,2021-08-06 13:02:15
550,-3.935958,-38.720707,Parado,50.193241,87,0,0.261493,24,2021-08-06 13:02:16
